model,horizon,bin,n,predicted,observed,gap
state_queue,0_10ms,0,8091,1.18725744758611e-06,0.000988752935360277,0.0009875656779126908
state_queue,0_10ms,1,8090,0.00011485836687537757,0.00173053152039555,0.0016156731535201725
state_queue,0_10ms,2,8090,0.0007526619927022659,0.005686032138442522,0.004933370145740256
state_queue,0_10ms,3,8090,0.0024125096698988224,0.0069221260815822,0.004509616411683378
state_queue,0_10ms,4,8090,0.0050158357640580275,0.024598269468479605,0.019582433704421576
state_queue,0_10ms,5,8090,0.007603516751297704,0.02880098887515451,0.02119747212385681
state_queue,0_10ms,6,8090,0.011581844818301174,0.0315203955500618,0.019938550731760627
state_queue,0_10ms,7,8090,0.017406790141857274,0.03609394313967861,0.018687152997821338
state_queue,0_10ms,8,8090,0.025965458156969275,0.04165636588380717,0.015690907726837892
state_queue,0_10ms,9,8090,0.07395428547091587,0.123114956736712,0.049160671265796124
state_queue,10_100ms,0,8092,1.3577210161540551e-06,0.001606524962926347,0.0016051672419101928
state_queue,10_100ms,1,8089,0.00013334965267992286,0.0035851155890715787,0.003451765936391656
state_queue,10_100ms,2,8090,0.0008779045296879831,0.006427688504326329,0.005549783974638346
state_queue,10_100ms,3,8090,0.002842482433369925,0.015203955500618047,0.012361473067248122
state_queue,10_100ms,4,8090,0.006114636088122423,0.041285537700865266,0.03517090161274284
state_queue,10_100ms,5,8090,0.009325942630803517,0.031396786155747834,0.022070843524944317
state_queue,10_100ms,6,8090,0.013899139596487796,0.042027194066749075,0.02812805447026128
state_queue,10_100ms,7,8090,0.0211234447669646,0.047466007416563656,0.026342562649599055
state_queue,10_100ms,8,8090,0.03149680833472422,0.06069221260815822,0.029195404273434
state_queue,10_100ms,9,8090,0.08351956809443595,0.134610630407911,0.051091062313475044
state_queue,100_500ms,0,8091,2.069591496578337e-06,0.0027190705722407614,0.002717000980744183
state_queue,100_500ms,1,8090,0.000180611276118682,0.0207663782447466,0.02058576696862792
state_queue,100_500ms,2,8090,0.0011211355559967548,0.014462299134734239,0.013341163578737485
state_queue,100_500ms,3,8090,0.00355342879530225,0.033250927070457355,0.029697498275155106
state_queue,100_500ms,4,8090,0.007718964101762128,0.0580964153275649,0.05037745122580277
state_queue,100_500ms,5,8090,0.011910941917080165,0.04585908529048208,0.033948143373401914
state_queue,100_500ms,6,8090,0.017127406329995192,0.060444993819530286,0.0433175874895351
state_queue,100_500ms,7,8090,0.025902451656466888,0.08170580964153276,0.055803357985065874
state_queue,100_500ms,8,8090,0.0386210243838912,0.07589616810877627,0.037275143724885065
state_queue,100_500ms,9,8090,0.09403577336091033,0.15142150803461063,0.0573857346737003
state_queue,500_1000ms,0,8091,5.2245481656847455e-06,0.004325794092201211,0.0043205695440355265
state_queue,500_1000ms,1,8090,0.0003076779364533126,0.04758961681087762,0.04728193887442431
state_queue,500_1000ms,2,8090,0.0016426473275594313,0.018046971569839306,0.016404324242279875
state_queue,500_1000ms,3,8090,0.004783872896493693,0.054758961681087764,0.04997508878459407
