bin,n,mean_predicted,observed_fill_rate,calibration_gap,model
0,8091,0.0033711628595180553,0.0018539117538005192,-0.0015172511057175361,queue_only
1,8091,0.011973561285146386,0.009022370535162525,-0.002951190749983861,queue_only
2,8097,0.024203095745283256,0.10090156848215388,0.07669847273687062,queue_only
3,8089,0.030802577555587792,0.07306218321176906,0.04225960565618127,queue_only
4,8112,0.036442448072532545,0.07125246548323472,0.03481001741070217,queue_only
5,8064,0.04213033034981946,0.0638640873015873,0.021733756951767838,queue_only
6,8123,0.04741158598330844,0.06894004678074603,0.021528460797437587,queue_only
7,8057,0.055628683908850965,0.06813950601961027,0.01251082211075931,queue_only
8,8089,0.06675320694511479,0.07219681048337248,0.005443603538257694,queue_only
9,8088,0.09525116781485965,0.17359050445103857,0.07833933663617892,queue_only
0,8091,0.0002157201703994647,0.0045729823260412805,0.004357262155641816,state_queue
1,8090,0.002352029582907897,0.04103831891223733,0.03868628932932944,state_queue
2,8090,0.007159637552074546,0.011495673671199011,0.004336036119124465,state_queue
3,8090,0.013837049654200143,0.02212608158220025,0.008289031928000106,state_queue
4,8090,0.02315318790038846,0.05550061804697157,0.0323474301465831,state_queue
5,8090,0.02936064538510559,0.0726823238566131,0.043321678471507516,state_queue
6,8090,0.03635694201617551,0.0826946847960445,0.04633774277986899,state_queue
7,8090,0.04635086804022977,0.09468479604449938,0.04833392800426961,state_queue
8,8090,0.061032809170236416,0.11149567367119902,0.0504628645009626,state_queue
9,8090,0.09296340077539986,0.2065512978986403,0.11358789712324044,state_queue
0,8091,0.00022290874322602582,0.0045729823260412805,0.004350073582815255,state_transition_queue
1,8090,0.0024982459734590734,0.040914709517923364,0.03841646354446429,state_transition_queue
2,8090,0.007202431142426802,0.011742892459826947,0.004540461317400145,state_transition_queue
3,8090,0.01383680765291646,0.02138442521631644,0.007547617563399979,state_transition_queue
4,8090,0.02320569702309735,0.05488257107540173,0.03167687405230438,state_transition_queue
5,8090,0.02942626512596284,0.07453646477132261,0.04511019964535977,state_transition_queue
6,8090,0.036482159949313836,0.08220024721878863,0.045718087269474794,state_transition_queue
7,8090,0.04653228423277716,0.0972805933250927,0.05074830909231554,state_transition_queue
8,8090,0.06101538693433341,0.10704573547589617,0.046030348541562766,state_transition_queue
9,8090,0.09295770231073387,0.20828182941903584,0.11532412710830196,state_transition_queue
