horizon,feature,coefficient_standardized,ci95_low,ci95_high,ci_excludes_zero
10ms,imbalance,-0.011194536340053619,,,
10ms,relative_spread_bps,-0.002710017180301824,,,
10ms,queue_log,0.2528107194906754,,,
10ms,adverse_flow_10ms,0.004616127951399544,,,
10ms,adverse_flow_100ms,-0.08284938451267165,,,
10ms,time_to_fill_ms,-0.026151504901044124,,,
10ms,side_code,0.0619466498978605,,,
10ms,side_x_imbalance,-0.22541148594027363,,,
100ms,imbalance,0.021791646973522785,,,
100ms,relative_spread_bps,-0.08682636481013827,,,
100ms,queue_log,0.27010410293651393,,,
100ms,adverse_flow_10ms,-0.030515160554245642,,,
100ms,adverse_flow_100ms,-0.06460449757471894,,,
100ms,time_to_fill_ms,-0.03615988055410796,,,
100ms,side_code,0.10002263389022294,,,
100ms,side_x_imbalance,-0.19339284918153768,,,
500ms,imbalance,0.0685296475352503,,,
500ms,relative_spread_bps,-0.09003291513079204,,,
500ms,queue_log,0.2777674888340411,,,
500ms,adverse_flow_10ms,-0.03113733748208379,,,
500ms,adverse_flow_100ms,-0.16823175722832168,,,
500ms,time_to_fill_ms,-0.03135421655263073,,,
500ms,side_code,0.20707660792911348,,,
500ms,side_x_imbalance,-0.14414868068903586,,,
1s,imbalance,0.08417678370944304,0.013099918275271412,0.17379712441350395,True
1s,relative_spread_bps,-0.1641499443890653,-0.2728873648100932,0.21996371936737544,False
1s,queue_log,0.34038969727627705,0.14219695146687555,0.45203827334290947,True
1s,adverse_flow_10ms,-0.07697430743022998,-0.5042109433193899,0.6857437219833753,False
1s,adverse_flow_100ms,-0.18631634254067972,-0.6754319267028364,0.24294887270012688,False
1s,time_to_fill_ms,-0.033460817884853396,-0.09685041828836083,0.04179106125509531,False
1s,side_code,0.21740240000156316,0.09504064750835785,0.36387735734863536,True
1s,side_x_imbalance,-0.16253928976428816,-0.25864354515739907,0.006571576510991273,False
