horizon,n,mean_bps,median_bps,std_bps,positive_fraction
10ms,13805,-0.02566348869638736,-0.23812925656024445,1.7787381766361787,0.3593625498007968
10ms_BUY,6413,-0.29038922688135826,-0.3546853940551502,1.4799722521146912,0.2864493996569468
10ms_SELL,7392,0.2040018466634906,0.0,1.9736790446239476,0.4226190476190476
100ms,13805,-0.09591846847136742,-0.2387204583430629,1.8533492811525274,0.3683448026077508
100ms_BUY,6413,-0.32558617126721184,-0.3558212354130283,2.114751436940071,0.29720879463589583
100ms_SELL,7392,0.10333193440062256,0.0,1.5652538706241352,0.43005952380952384
500ms,13805,-0.08369080133188501,-0.24019984627187993,2.006239793761977,0.3626946758420862
500ms_BUY,6413,-0.3267540671425561,-0.3563283922459702,2.225349270666673,0.3078122563542804
500ms_SELL,7392,0.12718104981040856,0.0,1.7678911951353178,0.41030844155844154
1s,13805,-0.0899629529091732,-0.3541578127210265,2.339013607897849,0.3817457442955451
1s_BUY,6413,-0.37357087793483196,-0.4797543657642921,2.487805400360742,0.3407141743333853
1s_SELL,7392,0.1560838034746944,-0.23920583785404603,2.1721709909771034,0.4173430735930736
