horizon,n,mean_bps,ci95_low_bps,ci95_high_bps
10ms,13805,-0.025663488696387293,-0.25423759882770086,0.3510974379941072
10ms_BUY,6413,-0.2903892268813582,-0.41139442413195304,-0.17094033965663744
10ms_SELL,7392,0.20400184666349078,-0.17777631831037416,0.8328638529474262
100ms,13805,-0.09591846847136742,-0.2800720652310823,0.17323691688178322
100ms_BUY,6413,-0.3255861712672119,-0.49084638445166434,-0.15542209745940885
100ms_SELL,7392,0.10333193440062252,-0.18012574657099506,0.5062597993915493
500ms,13805,-0.083690801331885,-0.27000573354018637,0.150870919527162
500ms_BUY,6413,-0.326754067142556,-0.4946770489844475,-0.16150395939735826
500ms_SELL,7392,0.12718104981040848,-0.16884151375500253,0.5189840791352481
1s,13805,-0.08996295290917324,-0.30467054779393926,0.2128474826308778
1s_BUY,6413,-0.37357087793483196,-0.6174013776077311,-0.12410065829027507
1s_SELL,7392,0.1560838034746944,-0.21360749032108384,0.6115777929468876
