horizon,model,side,n_train,n_test,r2,mae_bps,spearman,delta_r2_vs_A
10ms,A_state,ALL,9661,4144,0.05698147426769007,1.3204557387496232,0.4275837910364049,0.0
10ms,A_state,BUY,9661,1945,0.025432959538223443,0.9337821093696617,0.4364299307763112,
10ms,A_state,SELL,9661,2199,0.0036113023200641248,1.6624658384058415,0.39729428898752006,
10ms,B_state_transition,ALL,9661,4144,0.05832079433701587,1.3194263649808555,0.42436478269833894,0.0013393200693258
10ms,B_state_transition,BUY,9661,1945,0.025329868232345065,0.9334138703945133,0.4360546621890248,
10ms,B_state_transition,SELL,9661,2199,0.005764382035519544,1.6608516955722314,0.3896196395235807,
100ms,A_state,ALL,9661,4144,0.07560409876310636,1.3858914529589021,0.40263536246906906,0.0
100ms,A_state,BUY,9661,1945,0.03579052297511365,1.3815321092748682,0.3761624571405325,
100ms,A_state,SELL,9661,2199,0.08078902042996317,1.389747261719905,0.40338563880171874,
100ms,B_state_transition,ALL,9661,4144,0.0761261149912208,1.385045049831188,0.40292170070714395,0.0005220162281144303
100ms,B_state_transition,BUY,9661,1945,0.03563018856672484,1.3814428432703367,0.37573883264188596,
100ms,B_state_transition,SELL,9661,2199,0.08268420884698069,1.3882311761435369,0.4041451239958672,
500ms,A_state,ALL,9661,4144,0.029828204927368818,1.543464567336855,0.3256052695872039,0.0
500ms,A_state,BUY,9661,1945,0.02559688810534544,1.527689541805196,0.3035195312365011,
500ms,A_state,SELL,9661,2199,0.014351707675593683,1.5574174662268399,0.3268717194935873,
500ms,B_state_transition,ALL,9661,4144,0.03020123904007299,1.5422604487010434,0.3253700667773938,0.00037303411270417364
500ms,B_state_transition,BUY,9661,1945,0.025303322505204395,1.5274738843998255,0.30240235656740283,
500ms,B_state_transition,SELL,9661,2199,0.015793851935191117,1.5553390606000288,0.3278170742815291,
1s,A_state,ALL,9661,4144,0.045685559442518064,2.0772515514169103,0.31762457580149506,0.0
1s,A_state,BUY,9661,1945,0.0621267486599304,2.0498367239805617,0.28302057737495095,
1s,A_state,SELL,9661,2199,-0.006477264368418778,2.1014997730466054,0.3266723433432801,
1s,B_state_transition,ALL,9661,4144,0.046316606730651744,2.076296526181056,0.31763346408328086,0.0006310472881336793
1s,B_state_transition,BUY,9661,1945,0.06254020903560442,2.0497944795279364,0.2829726800309531,
1s,B_state_transition,SELL,9661,2199,-0.0055405064018509975,2.0997373996418647,0.3281378950802883,
