inventory_limit,skew_strength,selected_candidates,selected_fills,selection_rate,fill_rate_selected,gross_filled_qty,net_filled_qty,max_abs_inventory
100,0.25,150780,2796,0.5591402634389463,0.01854357341822523,279600.0,200.0,100.0
100,0.5,150780,2796,0.5591402634389463,0.01854357341822523,279600.0,200.0,100.0
100,1.0,150780,2796,0.5591402634389463,0.01854357341822523,279600.0,200.0,100.0
200,0.25,170302,4293,0.6315340571971045,0.025208159622318,429300.0,100.0,200.0
200,0.5,170302,4293,0.6315340571971045,0.025208159622318,429300.0,100.0,200.0
200,1.0,170302,4293,0.6315340571971045,0.025208159622318,429300.0,100.0,200.0
500,0.25,196763,6698,0.7296598730271746,0.034040952821414595,669800.0,-200.0,500.0
500,0.5,196763,6698,0.7296598730271746,0.034040952821414595,669800.0,-200.0,500.0
500,1.0,196763,6698,0.7296598730271746,0.034040952821414595,669800.0,-200.0,500.0
1000,0.25,212584,8518,0.7883291800166132,0.04006886689496858,851800.0,-400.0,1000.0
1000,0.5,212584,8518,0.7883291800166132,0.04006886689496858,851800.0,-400.0,1000.0
1000,1.0,212584,8518,0.7883291800166132,0.04006886689496858,851800.0,-400.0,1000.0
